lemma,definition,translationEs
Calamitous,"Producing, or attended with distress and misery; making wretched; wretched; unhappy.",Desastroso/a
Calamity,"Any great misfortune or cause of misery; -- generally applied to events or disasters which produce extensive evil, either to communities or individuals.",Desastre
Calm,Nearly or completely motionless; undisturbed.,Tranquilo/a
Careful,"Attentive to potential danger, error, or harm; cautious.",Cuidadoso/a
Careless,Taking insufficient care; negligent.,Descuidado/a
Catastrophe,"A great, often sudden calamity.",Catástrofe
Catastrophic,"Of, relating to, or involving a catastrophe.",Catastrófico/a
Cautious,Showing or practicing caution; careful.,Cauteloso/a
Celestial,Of or relating to the sky or physical universe as understood in astronomy.,Celestial
Cheerful,Being in or characterized by good spirits; merry.,Alegre
Clever,Mentally quick and original; bright.,Inteligente
Column,"A vertical structure usually consisting of a base, a cylindrical shaft, and a capital, used as a support or standing alone as a monument. Anatomy: Any of various tubular or pillarlike supporting structures in the body, each generally having a single tissue origin and functio",Columna
Come,To advance toward the speaker or toward a specified place; approach.,Venir
Comfort,To soothe in time of affliction or distress.,Comodidad
Commence,"Originate, inaugurate, begin, start.",Comenzar
Companion,A person who accompanies or associates with another; a comrade.,Compañero
Conceal,To keep from being observed or discovered; hide,Ocultar
Concede,"To acknowledge, often reluctantly, as being true, just, or proper; admit",Conceder
Concord,"Goodwill, friendship; a treaty; compact; covenant; agreement.",Concordia
Constantly,Continually occurring; persistent.,Constantemente
Continually,Recurring regularly or frequently.,Continuamente
Correct,Free from error or fault; true or accurate.,Correcto/a
Courage,"The state or quality of mind or spirit that enables one to face danger, fear, or vicissitudes with self-possession, confidence, and resolution; bravery.",Valor
Courageous,Having or characterized by courage; valiant.,Valiente
Courageously,In a courageous manner.,Valientemente
Cover,"To place something upon or over, so as to protect or conceal.",Cubrir
Coward,A person who lacks courage; very fearful or timid; craven; dastard.,Cobarde
Cowardice,Ignoble fear in the face of danger or pain.,Cobardía
Create,To cause to exist; bring into being.,Crear
Daily,Occurring every day,Diario
Daring,Willing to take or seek out risks; bold and venturesome.,Atrevido/a
Daringly,Willing to take or seek out risks; bold and venturesome.,Atrevidamente
Dead,Having lost life; no longer alive.,Muerto/a
Defend,"To make or keep safe from danger, attack, or harm:",Defender
Delighted,Filled with delight.,Encantado/a
Demanding,Requiring much effort or attention.,Exigente
Deny,To declare untrue; assert to be false.,Denegar
Depart,To go away; leave.,Partir
Destroy,"Demolish; ruin; annihilate; kill, slay; defeat completely.",Destruir
Difficult,Requiring considerable effort or skill; not easy to do or accomplish.,Difícil
Disallow,To refuse to allow.,Desestimar
Disaster,An occurrence causing widespread destruction and distress; a catastrophe.,Desastre
Disastrous,Accompanied by or causing distress or disaster; calamitous.,Desastroso/a
Discomfort,Mental or bodily distress.,Incomodidad
Discord,"Lack of agreement among persons, groups, or things.",Discordia
Discordantly,Not being in accord; conflicting. Disagreeable in sound; harsh or dissonant.,Discordante
Disgrace,"Loss of honor, respect, or reputation; shame.",Deshonra
Disguise,"To modify the manner or appearance of (a person, for example) in order to prevent recognition.",Disfrazar
Dishonest,"Disposed to lie, cheat, defraud, or deceive.",Deshonesto/a
Diurnal,Relating to or occurring in a 24-hour period; daily.,Diurno/a
Early,"Of or occurring near the beginning of a given series, period of time, or course of events.",Temprano/a
Ease,Having or showing intelligence; bright.,Facilidad
Easy,Capable of being accomplished or acquired with ease; posing no difficulty.,Fácil
Effortless,"Calling for, requiring, or showing little or no effort.",Sin esfuerzo
End,To bring to a conclusion.,Terminar
Enemy,"One who feels hatred toward, intends injury to, or opposes another; a foe.",Enemigo/a
Engaged,"Employed, occupied, or busy. Committed, as to a cause. Pledged to marry; betrothed.",Expansivo/a
Equity,The state or quality of being just and fair.,Equidad
Erudite,Having or showing great knowledge or learning,Erudito/a
Ethereal,Extremely light or delicate.,Etéreo/a
Everyday,"Ordinary, commonplace, usual.",Diario/a
Exact,Strictly and completely in accord with fact; not deviating from truth or reality.,Exacto/a
Expansive,Capable of expanding or tending to expand.,Amplio/a
Fair-minded,Unprejudiced; just; judicial; honest.,Imparcial
Fairness,"The state of being fair, or free form spots or stains, as of the skin; honesty, as of dealing; candor, as of an argument, etc.",Imparcialidad
Fearful,Experiencing fear; frightened. Inclined to feel anxiety or apprehension; timid; nervous.,Temeroso/a
Fearfully,In a fearful manner.,Temerosamente
Fearless,Without fear; brave.,Intrépido/a
Fearlessly,Without fear.,Sin temor
Follow,To go after; pursue; obey.,Seguir
Forbid,To command (someone) not to do something.,Prohibir
Forget,To be unable to remember (something).,Olvidar
Fortitude,Strength of mind that allows one to endure pain or adversity with courage.,Fortaleza
Fortunate,Bringing something good and unforeseen; lucky; providential.,Afortunado/a
Friend,"A person whom one knows, likes, and trusts.",Amigo/a
Friendly,Characteristic of or behaving as a friend. Outgoing and pleasant in social relations. Favorably disposed; not antagonistic.,Amistoso/a
Frightened,Made afraid.,Asustado/a
Gaze,"To fix the eyes in a steady and earnest look; to look with eagerness or curiosity, as in admiration, astonishment, or with studious attention.",Mirar fijamente
Generate,To bring into being; give rise to.,Generar
Generous,Liberal in giving  or sharing.,Generoso/a
Genuine,Actually possessing the alleged or apparent attribute or character.,Auténtico/a
Giving,Affectionate and generous where one's feelings are concerned.,Generoso/a
Glad,Experiencing or exhibiting joy and pleasure.,Contento/a
Glimpse,To look briefly; glance.,Entrever
Gloomy,"Partially or totally dark, especially dismal and dreary.",Sombrío/a
Glory,"Great honor, praise, or distinction accorded by common consent; renown.",Gloria
Gorgeous,Dazzlingly beautiful or magnificent.,Precioso/a
Grant,To allow or consent to the fulfillment of (something requested).,Conceder
Greedy,"Having or showing a strong or excessive desire to acquire money or possess things, especially wishing to possess more than what one needs or deserves.",Codicioso/a
Greet,"To salute or welcome in a friendly and respectful way with speech or writing, as upon meeting or in starting a letter.",Saludar
Guard,"To watch over (a place or person, for example) in order to keep from being damaged, robbed, or injured.",Proteger
Guarded,Protected or kept under surveillance.,Cauteloso/a
Happy,"Enjoying, showing, or marked by pleasure, satisfaction, or joy.",Feliz
Hard,Resistant to pressure; not readily penetrated; firm or solid. Requiring great effort or endurance.,Difícil
Harmoniously,Exhibiting accord in feeling or action.,Armoniosamente
Harmony, An orderly or pleasing combination of elements in a whole. A relationship in which various components exist together without destroying one another.,Armonía
Heavenly, Sublime; delightful; enchanting. Relating to the firmament; celestial.,Celestial
Heroic,"Of, relating to, or resembling the heroes of literature, legend, or myth.",Heroico/a
Hide,Conceal; cache; stash.,Esconder
Home,"one’s own house or residence; abode, dwelling, habitation; domicile; asylum.",Hogar
Honest,Marked by or displaying integrity; upright.,Honesto/a
Honor,"High respect, as that shown for special merit; recognition or esteem.",Honor
Hospitable,Disposed to treat guests with warmth and generosity.,Hospitalario/a
Household,A domestic unit consisting of the members of a family who live together along with nonrelatives such as servants.,Hogar
Huge,"Of exceedingly great size, extent, or quantity. ",Enorme
Idle,Not in use; unemployed; inactive,Inactivo/a
Ignore,To refuse to pay attention to; disregard.,Ignorar
Impartial,Not partial or biased; unprejudiced.,Imparcial
Impartiality,An inclination to weigh both views or opinions equally.,Imparcialidad
In advance,Ahead of time; beforehand.,Por adelantado
Inaccurate,Mistaken or incorrect; not accurate.,Inexacto/a
Increase,To become greater or larger.,Aumentar
Inhospitable,Displaying no hospitality; unfriendly. Unfavorable to life or growth; hostile.,Inhóspito/a
Initiate,To set going by taking the first step; begin.,Iniciar
Injustice,Violation of another's rights or of what is right; lack of justice.,Injusticia
Intelligent,"Wise, shrewd, having the capacity for thought and reason.",Inteligente
Interesting,Arousing or holding the attention; absorbing.,Interesante
Irregular,"Contrary to rule, accepted order, or general practice.",Irregular
Jeopardy,"Exposure to death, loss, or injury; hazard; danger.",Peligro
Joyful,"Feeling, causing, or exhibiting joy.",Alegre
Just,Honorable and fair in one's dealings and actions.,Justo/a
Justice,The quality of being just; fairness.,Justicia
Keen,Acutely sensitive.,Intenso/a
Land,The solid ground of the earth.,Aterrizar
Late,"Coming, occurring, continuing, or remaining after the correct, usual, or expected time; delayed.",Tarde
Lead,To conduct or escort. To guide or direct in a course.,Guiar
Learned,"Having profound, often systematic knowledge; erudite.",Docto/a
Lethal,Deadly; mortal; fatal.,Letal
Liberal,Done with or having an open hand.,Liberal
Living,Possessing life.,Viviente
Lovely,Beautiful especially in a pleasing or charming way.,Encantador/a
Make,To cause to exist or happen; bring about; create.,Hacer
Melodiously,In a melodious manner.,Melodiosamente
Merry,"Full of cheerfulness, liveliness, and good feelings.",Alegre
Misfortune,Bad fortune or ill luck.,Desgracia
Mislay,To put in a place that is afterward forgotten.,Extraviar
Modern,Of or relating to recent times or the present.,Moderno/a
Narrow,"Of small or limited width, especially in comparison with length.",Estrecho/a
Necessity,"The quality or state of being necessary, unavoidable, or absolutely requisite; inevitableness; indispensableness.",Necesidad
Neglect,To pay little or no attention to; fail to heed; disregard.,Descuidar
Never,Not ever; on no occasion; at no time.,Nunca
Notice,"Discover or determine the existence, presence, or fact of.",Notar
Observe,"To be or become aware of, especially through careful and directed attention; notice",Observar
Obviously ,in a way that is easy to see or understand; evidently,Obviamente
Occupied,"Busy doing or thinking about something. (Government, Politics & Diplomacy) politics under the control of an occupying military force.",Ocupado/a
Openhanded,Done with or having an open hand,Generoso/a
Overlook,To look over or at from a higher place.,Pasar por alto
Pal,A friend; a chum.,Compañero/a
Patience,capacity of calm endurance; forbearance.,Paciencia
Peaceful,"Undisturbed by strife, turmoil, or disagreement; tranquil.",Tranquilo/a
Peacefully,In a peaceful manner.,Pacíficamente
Peer,"To look intently, searchingly, or with difficulty.",Mirar detenidamente
Permit,To allow the doing of (something); consent to.,Permitir
Perpetually,Without interruption.,Perpetuamente
Pleased,Experiencing or manifesting pleasure.,Satisfecho/a
Polite,Marked by or showing consideration for others and observance of accepted social usage.,Educado/a
Possible,Capable of existing or occurring; able to be or to happen; that may be done; not contrary to the nature of things.,Posible
Practical,Pragmatic; suited to actual conditions; useful; sensible.,Práctico/a
Praise,"Expression of approval, commendation, or admiration.",Alabar
Precise,Clearly expressed or delineated; definite.,Preciso/a
Prematurely,"Occurring, growing, or existing before the customary, correct, or assigned time; uncommonly or unexpectedly early.",Prematuramente
Produce, To create by physical or mental effort.,Producir
Prohibit,To forbid by authority.,Prohibir
Protect,"To keep from being damaged, attacked, stolen, or injured; guard.",Proteger
Prudent,Careful or wise in handling practical matters; exercising good judgment or common sense.,Prudente
Pull,To apply force to (something) so as to cause or tend to cause motion toward the source of the force.,Tirar
Pursue,"Trail, hunt; follow close upon. Continue to discuss or study.",Perseguir
Rain,Water falling in drops from the clouds; the descent of water from the clouds in drops.,Lluvia
Reach,To stretch out or put forth (a body part); extend. To arrive at; attain.,Alcanzar
Receive,To take or acquire (something given or offered); get or be given.,Recibir
Regard,To think of or consider in a particular way.,Considerar
Reject,"To refuse to accept, submit to, believe, or make use of.",Rechazar
Relief,"The easing of a pain, distress, or anxiety.",Alivio
Remember,To recall to the mind with effort; think of again.,Recordar
Renown,The quality of being widely known or acclaimed; fame.,Renombre
Residence,The place in which one lives; a dwelling.,Residencia
Resource,Something that is available for use or that can be used for support or help,Recurso
Resourceful,"Able to act effectively or imaginatively, especially in difficult situations.",Ingenioso/a
Reveal,To make known (something concealed or unknown). ,Revelar
Reward,A consequence that happens to someone as a result of worthy or unworthy behavior.,Recompensa
Routine,A set of customary or unchanging and often mechanically performed activities or procedures.,Rutinario/a
Ruinous,Causing or apt to cause ruin; destructive.,Ruinoso/a
Safe,Free from danger; free from hurt or injury or damage; conferring safety; securing from harm.,Seguro/a
Safety,"The condition of being safe; freedom from danger, risk, or injury.",Seguridad
Scared,Made afraid.,Asustado/a
Scholarly,Having or showing a strong interest in scholarship or learning.,Erudito/a
Separate,"To set, force, or keep apart.",Separar
Serene,Content or composed; untroubled.,Sereno/a
Shield,A broad piece of armor made of rigid material and strapped to the arm or carried in the hand for protection against hurled or thrusted weapons.,Blindar
Silent,Marked by absence of noise or sound; still.,Silencioso/a
Simple,Having few parts or features; not complicated or elaborate.,Sencillo/a
Sincere,Not feigned or affected; genuine.,Sincero/a
Smart,Having or showing intelligence; bright.,Listo/a
Smooth,"Having a surface free from irregularities, roughness, or projections; even.",Liso/a
Solace,"Comfort in sorrow, misfortune, or distress; consolation.",Consuelo
Spine,The spinal column of a vertebrate.,Columna vertebral
Splendor,Great light or luster; brilliance. Something grand or magnificent.,Esplendor
Stare,"To look directly, fixedly, or vacantly, often with a wide-eyed gaze.",Mirar fijamente
Start,"To begin a movement, activity, or undertaking.",Empezar
Strength,The state or quality of being strong; physical power or capacity.,Fuerza
Stupid,Slow to learn or understand; obtuse.,Estúpido/a
Succeed,To come next in time or order. To accomplish something desired or intended.,Tener éxito
Supply,To make available for use; provide.,Suministrar
Tangible,Discernible by the touch; palpable.,Tangible
Team,two or more who work together or play on the same side as in a gam,Equipo
Technology,"The application of science, especially to industrial or commercial objectives.",Tecnología
Terrible,Causing great fear or alarm; dreadful.,Terrible
Timely,Occurring at a suitable or opportune time; well-timed.,Oportuno/a
Tiny,Extremely small.,Diminuto/a
Trail,"To allow to drag or stream behind, as along the ground.",Seguir la pista
Tranquil,Free from commotion or disturbance.,Tranquilo/a
True,Consistent with fact or reality; not false or erroneous.,Verdadero/a
Truthful,Telling or expressing the truth; honest or candid.,Sincero/a
Ugly, Displeasing to the eye; unsightly.,Feo/a
Unavailable,"Not available, accessible, or at hand.",No disponible
Unbiased,Without bias or prejudice; impartial.,Imparcial
Understand,"To have just and adequate ideas of; to apprehended the meaning or intention of; to have knowledge of; to comprehend; to know; as, to understand a problem in Euclid; to understand a proposition or a declaration; the court understands the advocate or his argument; to understand the sacred oracles; to understand a nod or a wink.",Entender
Understandable,Capable of being understood; intelligible.,Comprensible
Unhappy,Not happy or joyful; sad or sorrowful.,Infeliz
Unite,To bring together so as to form a whole.,Unir
Useful,Having a beneficial use; serviceable.,Útil
Valor,"Courage and boldness, as in battle; bravery.",Valor
Vast,"Very great in size, extent, or quantity.",Vasto/a
Vertebra,"Any of the segments, composed of cartilage in cartilaginous fishes and of bone in other vertebrates, that form the spinal column.",Vértebra
Victory,A defeat of an enemy or opponent.,Victoria
Weak,Not strong; feeble; lacking firmness or force of will.,Débil
Welcome,"To greet, receive, or entertain (another or others) cordially or hospitably.",Acoger
Welcoming,"Behaving in a friendly way to someone arriving somewhere, so that they feel happy and accepted.",Acogedor/a
Wide,Having a specified extent from side to side.,Ancho/a
Wisdom,"The ability to discern or judge what is true, right, or lasting; insight.",Sabiduría
Wise,"Having the ability to discern or judge what is true, right, or lasting; sagacious.",Sabio/a
Young,"Being in an early period of life, development, or growth.",Joven
Youth,The condition or quality of being young.,Juventud
